20|	Ne		STABLE|						-13892.5|11	-4729.84|0	-7024.47|3	-28043|11	16865.30|16	12843.46|0	8032.240|0	19992440.1762|17	-7041.9305|16	1913
10		10	90.48 %|3															
21|	Ne		STABLE|				-0.661797 5	+0.103 8	-3547.14|9	-7347.93|4	-5684.2|18	-20653.7|11	6761.16|4	13003.28|5	7971.713|2	20993846.68|4	-5731.78|4	1928
10		11	0.27 %|1															
22|	Ne		STABLE|						-2843.21|17	-9666.82|2	-10818|12	-13911.40|10	10364.26|4	15266.1|18	8080.465|1	21991385.109|18	-8024.719|18	1913
10		12	9.25 %|3															
23|	Ne		37.24 s|12	3.72E1|1.2E-1	?-	100	-1.077 4		4375.80|10	-10911.8|26	-8440|30	-8043.85|20	5200.65|10	15236|12	7955.256|5	22994466.90|11	-5154.05|10	1936
10		13																
24|	Ne		3.38 min|2	2.03E2|1.2E0	?-	100			2466.3|5	-12172.7|10	-13500|100	-4493.1|5	8868.9|5	16530|30	7993.325|21	23993610.6|5	-5951.6|5	1956
10		14																
25|	Ne		602 ms|8	6.02E-1|8E-3	?-	100	-1.0062 5		7322|29	-12520|30	-13370|100	-1689|29	4155|29	16870|100	7839.8|12	24997810|30	-2036|29	1970
10		15																
26|	Ne		197 ms|2	1.97E-1|2E-3	?-	100			7342|19	-11230|60	-18170|110	1768|18	5550|30	18140|100	7751.9|7	26000516|20	481|18	1970
10		16			?- n	0.13|3												
27|	Ne		31.5 ms|13	3.15E-2|1.3E-3	?-	100			12570|90	-10000|150	-18400|400	5840|90	1500|90	18890|140	7520|3	27007570|100	7050|90	1977
10		17			?- n	2.0|5												
28|	Ne		20 ms|1	2E-2|1E-3	?-	100			12290|130	-9630|210	-22440|410	8750|130	3820|160	21440|410	7388|5	28012130|140	11300|130	1979
10		18			?- n	12|1												
					?- 2n	3.7|5												
29|	Ne		15 ms|3	1.5E-2|3E-3	?-	100			15720|150	-11350|220	-21750|550	11320|150	970|200	22630|420	7167|5	29019750|160	18400|150	1985
10		19			?- n	28|5												
					?- 2n	4|1												
30|	Ne		7.3 ms|3	7.3E-3|3E-4	?-	100			14810|250	-13810|300	-24830|650	12530|250	3190|290	24160|580	7035|8	30024990|270	23280|250	1985
10		20			?- n	13|4												
					?- 2n	8.9|23												
31|	Ne		3.4 ms|8	3.4E-3|8E-4	?-	100			18940|270	-15910|570#	-24960|610	14640|270	170|130	24220|650#	6813|9	31033470|290	31180|270	1996
10		21			?- 2n	?												
					?- n	?												
32|	Ne		3.5 ms|9	3.5E-3|9E-4	?-	100			18360|500#	-17510|860#	#	16680|500#	2250|570#	26430|740#	6671|16#	32039720|540#	37000|500#	1990
10		22			?- n	?												
33|	Ne		< 180 ns	1.8E-7	n	?			22220|750#		#	19290|600#	-930|780#		6440|18#	33049380|640#	46000|600#	
10		23																
34|	Ne		> 60 ns	6E-8|5E15	?- 2n	?			21160|790#		#	20990|680#	1230|790#		6287|15#	34056730|550#	52840|510#	2002
10		24			?- n	?												
					?-	?												
18|	NA		< 0.2 MeV	2.28E-21	p	? 100.				-9350|100	19720|90		18210|1010	-1250|90	6202|5	18026880|100	25040|90	2004
11		7																
19|	NA		< 40 keV	1.14E-20	p	? 100			-18900|50	-6062|18	11177|11		20180|90	-323|11	6937.9|6	19013880|11	12929|11	1969
11		8																
